1,AI,SC/AI(REF)-2.1,PROBABILISTIC REASONING IN INTELLIGENT SYSTEMS  NETWORKS OF PLAUSIBLE INFERENCE,JUDEA PEARL,1558604790,574,1
2,AI,SC/AI(REF)-2.2,COMPUTER SYSTEM PERFORMANCE EVALUATION AND PREDICTION,FORTIER MICHAEL,1555582605,525,1
3,AI,SC/AI(REF)-2.4,MACHINE LEARNING,TOM MITCHELL,1558601414,475,1
4,AI,SC/AI(REF)-2.5,COMPUTATIONAL INTELLIGENCE,DAVID POOLE,470848707,522,1
5,AI,SC/AI-1.1,FUNDAMENTALS OF ARTIFICIAL NUEALS NETWORKS,Mohammad H Hassoun,8120313569,540,1
6,AI,SC/AI-1.10,LOGIC IN COMPUTER SCIENCE,HUTH AND RYAN,521670896,441,1
7,AI,SC/AI-1.2,ARTIFICIAL INTELLIGENCE - A NEW SYNTHESIS,Nils J Nilsson,8181471903,536,2
8,AI,SC/AI-1.3,EXPERT SYSTEMS ( THEORY& PRACTICE) AN INTRODUCTION TO HIGH PERFORMANCE SCIENTFIC COMP.,Fosdick,8120309197,192,1
9,AI,SC/AI-1.4,C++ NEURAL NETWORKS & FUZZY LOGIC, Valluru Rao ,8170296943,225,1
10,AI,SC/AI-1.5,PROLOG PROGRAMMING FOR ARTIFICIAL INTELLIGENCE,Ivan Bratk O,8178082578,220,2
11,AI,SC/AI-1.6,ARTIFICIAL NEURAL NETWORKS,Robert Schalkoff,1259002373,448,1
12,AI,SC/AI-1.8,INTRODUCTION TO EXPERT SYSTEMS,James P  Ignizio,8120307771,448,1
13,AI,SC/AI-1.9,ARTIFICIAL INTELLIGENCE ,Elaine Rich Kevin Knight,9332543518,1164,2
14,AI,SC/AI-2.5,ARTIFICIAL INTELLIGENCE A MODERN APPROACH. ,STUART RUSSELL PETER NORVIG.,136042597,1152,1
15,AI,SC/AI-2.6,COMPUTATIONAL INTELLIGENCE. A LOGICAL APPROACH,DAVID POOLE  ALAN MACKWORHT  RANDY GOEBEL,195685725,576,1
16,AUTO COMP.(REF.),SC/AUTO COMP (REF)-1.1,AN INTRODUCTION TO INTELLIGENT AND AUTONOMOUS CONTROL,PANOS J ANTSAKLIS AND KEVIN M  PASSINO (ZEROX COPY),521116392,578,1
