124,0137566107,IBM PC ASSEMBLY LANGUAGE AND PROGRAMMING ,CO,Peter Abel,606,2,2
125,1558604286,COMPUTER ORGANIZATION & DESIGN,CO,David A.Patterson and John L HennElSY,1000,2,2
126,0136630146,ADVANCED ASSEMBLY LANGUAGE,CO,Steven Holzner With Peter Norton Computing,300,1,1
127,1871962226,THE 386/486 PC (A POWER USER'S GUIDE),CO,Harty Fairhead,360,1,1
128,0895883090,ASSEMBLY LANGUAGE TECHNIQUES FOR THE IBM PC.,CO,Alan R. Miller,300,1,1
129,1572313498,INSIDE COM,COM,Karli Watson and Dale Rogerson,416,1,1
130, 157231849X,INSIDE DISTRIBUTED COM,COM,Eddon,526,1,1
131,1861001312,PROFESSIONAL DCOM APPLICATION DEVELOPMENT,COM,Jonathan Pinnock,496,1,1
132,186100060X,PROFESSIONAL DCOM PROGRAMMING,COM,Dr. Richard Grimes,592,1,1
133,0201634465,ESSENTIAL COM,COM,Don Box,464,1,1
134,0672313529,COM/DCOM UNLEASED,COM,Randy Abernethy,700,1,1
135,1861001207,BEGINNING ATL 3 COM PROGRAMMING,COM,Richard Grimes,521,1,1
136,0782123848,MASTERING COM & DCOM,COM,Ash Rofail,693,1,1
137,0596009763,SQL COOKBOOK. QUERY SOLUTIONS AND TECHNIQUES FOR DATABASE DEVELOPERS,DB,ANTHONY MOLINARO,636,2,2
138,0471666564,DATA MINING METHODS & MODELS,DB,LAROSE,344,2,2
139,0471412546,DATA WAREHOUSING FUNDAMENTALS,DB,PONNIAH,600,2,2
140,8120326458,DATABASE MANAGEMENT SYSTEM,DB,NARANG,480,1,1
141,0321197844,AN INTRODUCTION TO DATABASE SYSTEMS,DB,C.J.Date,1024,6,6
142,0071148108,DATABASE SYSTEM CONCEPTS,DB,Henry Korth,1376,4,4
143,0321197844,DATABASE SYSTEM VOL 1,DB,C.J.Date,840,2,2
144,8170298997,ORACLE DEVELOPER 2000,DB,Ivan Bayross,482,1,1
145,0201175193,DATAWARE HOUSING,DB,Anohory,368,1,1
146,0136086209,FUNDAMENTALS OF DATABSE SYSTEMS,DB,Navathe,1200,2,2
147,0072465638,DATABASE MANAGEMENT SYSTEMS,DB,Raghuramakrishnan,1104,1,1
